"","housing","adj_prot_share","value_time","value_time2"
"1","Mobile",16.6348702432149,8.86894053408728,38.3107582465973
"2","Mobile",9.0408364803659,38.3107582465973,76.6215164931947
"3","Mobile",8.6711584218732,76.6215164931947,114.932274739792
"4","Mobile",4.7052572694293,114.932274739792,153.243032986389
"5","Mobile",10.3003856978293,153.243032986389,191.553791232987
"6","Permanent",58.8102739479544,0.776194110121696,3.35289032449977
"7","Permanent",20.8390529344521,3.35289032449977,6.70578064899954
"8","Permanent",11.0491193975636,6.70578064899954,10.0586709734993
"9","Permanent",3.6410823157865,10.0586709734993,13.4115612979991
"10","Permanent",0.443610330022293,13.4115612979991,16.7644516224988
